Parachaenichthys_georgianus,C
Agonus_cataphractus,C
Ophichthus_gomesii,C
Oncorhynchus_keta,C
Scomberesox_saurus_saurus,N
Antennarius_striatus,C
Pareques_umbrosus,N
Sardinella_longiceps,N
Platycephalus_speculator,N
Salmo_trutta,C
Scophthalmus_aquosus,N
Icelinus_quadriseriatus,G
Taurulus_bubalis,C
Remora_remora,C
Istiophorus_platypterus,N
Oncorhynchus_gorbuscha,C
Mycteroperca_phenax,N
Pleuronichthys_decurrens,N
Ompok_bimaculatus,C
Desmodema_lorum,C
Arius_maculatus,C
Hemitripterus_americanus,C
Makaira_mazara,N
Spicara_smaris,N
Chitonotus_pugetensis,C
Cubiceps_pauciradiatus,B
Paramonacanthus_japonicus,N
Bairdiella_chrysoura,N
Nuchequula_nuchalis,N
Gobionotothen_gibberifrons,C
Prognathodes_aculeatus,N
Dactylopterus_volitans,N
Lactoria_diaphana,N
Parophrys_vetulus,N
Platichthys_stellatus,C
Sphyraena_borealis,N
Balistes_capriscus,N
Myoxocephalus_quadricornis,C
Hirundichthys_coromandelensis,N
Liparis_liparis_barbatus,N
Sarda_orientalis,N
Acipenser_sturio,B
Pomacanthus_arcuatus,N
Pegasus_lancifer,N
Acanthurus_nigroris,N
Acanthurus_triostegus,N
Corythoichthys_nigripectus,C
Echeneis_naucrates,N
Pegusa_lascaris,N
Aluterus_schoepfii,G
Serranus_cabrilla,N
Neoclinus_blanchardi,N
Orthopristis_chrysoptera,N
Hippocampus_fuscus,C
Polydactylus_oligodon,N
Holacanthus_tricolor,N
Stephanolepis_hispidus,G
Solea_ovata,C
Ophidion_scrippsae,N
Epinephelus_coioides,N
Hippocampus_bargibanti,C
Bathymaster_derjugini,W
Corythoichthys_intestinalis,C
Labrus_bergylta,W
Pseudogramma_polyacantha,C
Seriola_dumerili,C
Anchoa_lyolepis,N
Alosa_aestivalis,C
Cynoscion_nebulosus,N
Acipenser_brevirostrum,C
Lactoria_fornasini,N
Gobius_niger,N
