Solea_ovata,C
Ophidion_scrippsae,N
Epinephelus_coioides,N
Bathymaster_derjugini,W
Pseudogramma_polyacantha,C
Anchoa_lyolepis,N
Alosa_aestivalis,C
Cynoscion_nebulosus,N
Lactoria_fornasini,N
Gobius_niger,N
Balistapus_undulatus,N
Diodon_hystrix,N
Caesio_caerulaurea,N
Opisthonema_oglinum,N
Coris_julis,N
Tautoga_onitis,N
Centropyge_argi,N
Fundulus_bermudae,N
Photoblepharon_palpebratum,N
Histrio_histrio,N
Bagre_marinus,C
Pterocaesio_digramma,N
Trachurus_trachurus,C
Brevoortia_tyrannus,N
Escualosa_thoracata,C
Anchoa_hepsetus,N
Cetengraulis_edentulus,N
Stolephorus_baganensis,N
Thryssa_hamiltonii,N
Lutjanus_kasmira,N
Syngnathus_louisianae,C
Alosa_sapidissima,N
Acipenser_oxyrinchus,C
Dascyllus_marginatus,N
Acanthurus_bahianus,N
Thunnus_alalunga,N
Siganus_canaliculatus,N
Ciliata_septentrionalis,C
Chaetodipterus_zonatus,N
Pseudophallus_mindii,C
Dorosoma_cepedianum,C
Haemulon_plumierii,N
Genyonemus_lineatus,N
Archosargus_probatocephalus,N
Platichthys_flesus,N
Pomacanthus_paru,N
Plotosus_lineatus,C
Chirolophis_ascanii,N
Nematalosa_nasus,N
Sillago_sihama,N
Gymnocephalus_cernua,W
Sphoeroides_maculatus,N
Oreochromis_niloticus,C
Thryssa_mystax,N
Sciaena_umbra,N
Chaetodon_capistratus,N
Zebrasoma_xanthurum,N
Arius_subrostratus,C
Hirundichthys_rondeletii,N
Umbrina_roncador,N
Sarda_chiliensis_chiliensis,C
Xiphister_mucosus,W
Leuresthes_tenuis,C
Parablennius_tentacularis,C
Astroscopus_guttatus,N
Muraenolepis_microps,C
Syngnathus_schlegeli,C
Encrasicholina_heteroloba,N
Oreochromis_mossambicus,C
Chilomycterus_schoepfii,N
Channa_striata,C
Nerophis_lumbriciformis,C
Syngnathus_floridae,C
Scomberomorus_maculatus,N
Syngnathus_acus,C
Coryphaena_hippurus,N
Ilypnus_gilberti,C
Eubleekeria_splendens,N
Lethrinus_nebulosus,N
Cottus_gobio,C
Corythoichthys_amplexus,C
Pseudobalistes_flavimarginatus,N
Diodon_holocanthus,N
Chanos_chanos,C
Leucaspius_delineatus,N
Epinephelus_tauvina,N
Coryphaena_equiselis,N
Engraulis_mordax,N
Cheilopogon_hubbsi,C
Makaira_nigricans,N
Merluccius_albidus,N
Auxis_rochei_eudorax,N
Euthynnus_alletteratus,N
Scomber_scombrus,N
Thunnus_albacares,N
