Species,Genus,Family,Marine,Brackish,Freshwater,EggColour,EggColourCategory,Pigment,AdultColour,Match,Development,DevelopmentScore,DevelopmentScore2,MinDepth,MaxDepth,AverageDepth,MeanSurfaceTemp,MeanSurfaceOxygen,MeanSurfaceChlorophyll,Longitude,Latitude ,PositiveLatitude,PostCare,PC1,PC2,MatingSystem,ParentalCare,ParentalCare2,Transparent
Oxymonacanthus_longirostris,Oxymonacanthus,Monacanthidae,M,NA,NA,transparent,Transparent,None,Blue-Yellow,No,NA,NA,NA,1,35,18,28.1267529,201.8730601,0.126944955,131.1915635,-1.704100159,1.704100159,0,30.63701827,0.991526958,NA,Paternal,Monoparental,1
Psenes_sio,Psenes,Nomeidae,M,NA,NA,Chorion pinkish straw color;,Pink,Carotenoid,Blue-Grey*,No,NA,NA,NA,NA,NA,NA,25.25231282,210.1159089,0.521708276,-88.41445505,6.236860447,6.236860447,0,22.00340277,-0.299846565,NA,NA,NA,0
Hypomesus_pretiosus,Hypomesus,Osmeridae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,No,Demersal,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Citharichthys_arctifrons,Citharichthys,Paralichthyidae,M,NA,NA,transparent ,Transparent,None,Brown,No,Pelagic,2,2,46,366,206,21.1291912,228.9726148,0.4415895,-76.16667296,34.78201881,34.78201881,0,2.708867167,-0.844259193,NA,None,None,1
Perca_fluviatilis,Perca,Percidae,NA,B,F,white,White,Guanine,Green-Red,No,Demersal,1,0,1,30,15.5,13.00615077,268.366711,0.405478097,NA,NA,NA,0,-37.50865756,-1.499473874,Polygamy,None,None,0
Lepidopsetta_bilineata,Lepidopsetta,Pleuronectidae,M,NA,NA,bright yellow or orange,Yellow-Orange-Amber,Carotenoid,Brown-Grey,No,NA,NA,NA,0,575,287.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Regalecus_glesne,Regalecus,Regalecidae,M,NA,NA,"red, pink",Variety,Carotenoid,Blue-Grey-Red,Yes,NA,NA,NA,20,0,10,21.01504606,230.279976,0.22052532,-14.02066127,30.11599873,30.11599873,0,1.403084767,-0.71328307,NA,None,None,0
Cynoscion_nothus,Cynoscion,Sciaenidae,M,B,NA,transparent,Transparent,None,Black-Grey-White,No,NA,NA,NA,2,18,10,24.16147575,216.430304,0.305064044,-92.24406177,25.99391854,25.99391854,0,15.59629666,-0.197365961,NA,None,None,1
Larimus_fasciatus,Larimus,Sciaenidae,M,B,NA,transparent,Transparent,None,Grey,No,NA,NA,NA,NA,NA,NA,23.04594598,220.6087729,0.332615579,-84.53909402,30.15694237,30.15694237,0,11.28326429,-0.516365638,NA,None,None,1
Menticirrhus_saxatilis,Menticirrhus,Sciaenidae,M,B,NA,"almost colourless, faint yellowish tint",Yellow-Orange-Amber,Carotenoid,Grey,No,NA,NA,NA,NA,NA,NA,23.54392804,218.6319663,0.303129671,-84.47144256,29.51297396,29.51297396,0,13.31819607,-0.394697523,NA,NA,NA,0
Pareques_iwamotoi,Pareques,Sciaenidae,M,NA,NA,transparent,Transparent,None,Grey,No,Pelagic,2,2,37,184,110.5,26.31079381,208.0055108,0.177692798,-87.71879043,26.39255699,26.39255699,0,24.27383162,0.347698786,NA,None,None,1
Auxis_thazard_brachydorax,Auxis,Scombridae,M,NA,NA,transparent,Transparent,None,Grey,No,NA,NA,NA,NA,NA,NA,24.80243648,214.8771681,0.251230795,121.6014758,-2.745139841,2.745139841,0,17.24153825,0.143576687,NA,None,None,1
Corythoichthys_haematopterus,Corythoichthys,Syngnathidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Green-Yellow,Yes,Benthic,0,1,0,21,10.5,28.27739442,201.6952553,0.15433218,126.9011637,0.344585252,0.344585252,2,30.83973615,1.106474228,Monogamy,Paternal,Monoparental,0
Hippocampus_capensis,Hippocampus,Syngnathidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown-Green,No,Benthic,0,1,0,20,10,18.57356944,234.5595099,0.754268826,22.5,-34.50149948,34.50149948,2,-3.255835988,-2.316303934,NA,Paternal,Monoparental,0
Hippocampus_ingens,Hippocampus,Syngnathidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Red-Yellow,Yes,Benthic,0,1,0,60,30,23.99518847,216.2202247,0.487758466,-96.12389682,13.39230906,13.39230906,2,15.77178676,-0.399820889,NA,Paternal,Monoparental,0
Hippocampus_trimaculatus,Hippocampus,Syngnathidae,M,NA,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-Orange,Yes,Benthic,0,1,0,100,50,25.46150304,215.2923426,0.269446885,121.3510492,12.14219101,12.14219101,2,16.95617295,0.868356131,NA,Paternal,Monoparental,0
Microphis_leiaspis,Microphis,Syngnathidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Yellow,Yes,NA,NA,NA,NA,NA,NA,28.2271557,201.6010394,0.193605845,130.8799939,-5.079555912,5.079555912,2,30.92296559,1.039590565,NA,Paternal,Monoparental,0
Syngnathus_abaster,Syngnathus,Syngnathidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black,No,NA,NA,NA,0,5,2.5,19.03063248,238.8845004,0.201170099,26.51216242,42.86698159,42.86698159,2,-7.420378761,-1.062895405,NA,Paternal,Monoparental,0
Syngnathus_fuscus,Syngnathus,Syngnathidae,M,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown,No,NA,NA,NA,5,366,185.5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,Paternal,Monoparental,0
Desmodema_polystictum,Desmodema,Trachipteridae,M,NA,NA,pink,Pink,Carotenoid,Grey-Pink*,Yes,NA,NA,NA,0,500,250,25.54770843,211.9680925,0.228832204,115.3774645,-5.770083326,5.770083326,0,20.23846449,0.334846695,NA,NA,NA,0
Zu_cristatus,Zu,Trachipteridae,M,NA,NA,"amber, red",Variety,Carotenoid,Grey,No,Pelagic,2,2,NA,NA,NA,22.19688756,225.1361424,0.19305362,19.68717222,-6.770977618,6.770977618,0,6.676973442,-0.508657381,NA,None,None,0
Lycodapus_mandibularis,Lycodapus,Zoarcidae,M,NA,NA,transparent,Transparent,None,Brown,No,NA,NA,NA,100,1370,735,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
Zoarces_americanus,Zoarces,Zoarcidae,M,B,NA,yellow,Yellow-Orange-Amber,Carotenoid,Brown-Yellow,Yes,Benthic,0,1,0,388,194,NA,NA,NA,NA,NA,NA,1,NA,NA,Monogamy,Maternal,Monoparental,0
Oryzias_latipes,Oryzias,Adrianichthyidae,NA,B,F,transparent,Transparent,None,Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
