Species,Genus,Family,Marine,Brackish,Freshwater,EggColour,EggColourCategory,Pigment,AdultColour,Match,Development,DevelopmentScore,DevelopmentScore2,MinDepth,MaxDepth,AverageDepth,MeanSurfaceTemp,MeanSurfaceOxygen,MeanSurfaceChlorophyll,Longitude,Latitude ,PositiveLatitude,PostCare,PC1,PC2,MatingSystem,ParentalCare,ParentalCare2,Transparent
Lycengraulis_grossidens,Lycengraulis,Engraulidae,M,B,F,Transparent,Transparent,None,Grey-Yellow,No,NA,NA,NA,NA,NA,NA,26.5710033,208.449063,0.297721951,-55.38711643,-3.723575931,3.723575931,0,23.88640818,0.68585646,NA,None,None,1
Esox_lucius,Esox,Esocidae,NA,B,F,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Brown*,No,Demersal,1,0,0,30,15,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,0
Fundulus_majalis,Fundulus,Fundulidae,M,B,NA,yellow; orange; amber,Yellow-Orange-Amber,Carotenoid,Black-Brown*,No,Demersal,1,0,0,1,0.5,17.05365624,245.3473708,0.634860565,-73.59647829,38.21803203,38.21803203,0,-14.13816544,-1.803483676,Polygamy,None,None,0
Adinia_xenica,Fundulus,Fundulidae,M,B,F,transparent,Transparent,None,Green-Grey,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,None,None,1
Galaxias_fasciatus,Galaxias,Galaxiidae,M,B,F,transparent,Transparent,None,Brown-Yellow,No,NA,NA,NA,NA,NA,NA,14.69214417,261.3310602,1.061957387,172.578251,-41.70681753,41.70681753,0,-30.28219649,-1.151312375,NA,NA,NA,1
Galaxias_postvectis,Galaxias,Galaxiidae,M,B,F,transparent,Transparent,None,Brown,No,NA,NA,NA,NA,NA,NA,15.45111813,256.4398642,1.013487442,174.1107428,-39.64355815,39.64355815,0,-25.33517896,-1.315194444,NA,None,None,1
Apeltes_quadracus,Apeltes,Gasterosteidae,M,B,F,yellow to dark amber,Yellow-Orange-Amber,Carotenoid,Brown*,No,NA,NA,NA,0,3,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Paternal,Monoparental,0
Lepadogaster_purpurea,Lepadogaster,Gobiesocidae,M,NA,NA,yellow,Yellow-Orange-Amber,Carotenoid,Grey-Orange,Yes,NA,NA,NA,NA,NA,NA,17.65196876,242.3775591,0.355793138,-5.657855897,42.99288638,42.99288638,0,-11.10889267,-1.767904548,NA,NA,NA,0
Trachelochismus_melobesia,Trachelochismus,Gobiesocidae,M,NA,NA,red/pink,Variety,Carotenoid,Black-White,No,NA,NA,NA,0,36,18,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
Gobiosoma_bosc,Gobiosoma,Gobiidae,M,B,NA,yellow,Yellow-Orange-Amber,Carotenoid,Brown-Yellow*,Yes,NA,NA,NA,NA,NA,NA,22.77947826,221.9919364,0.382630271,-83.56831534,31.39232354,31.39232354,1,9.87467449,-0.520957931,NA,NA,NA,0
