Parachaenichthys_georgianus,2
Agonus_cataphractus,2
Ophichthus_gomesii,2
Oncorhynchus_keta,2
Scomberesox_saurus_saurus,1
Antennarius_striatus,2
Pareques_umbrosus,1
Sardinella_longiceps,1
Platycephalus_speculator,1
Salmo_trutta,2
Scophthalmus_aquosus,1
Icelinus_quadriseriatus,3
Taurulus_bubalis,2
Remora_remora,2
Istiophorus_platypterus,1
Oncorhynchus_gorbuscha,2
Mycteroperca_phenax,1
Pleuronichthys_decurrens,1
Ompok_bimaculatus,2
Desmodema_lorum,2
Arius_maculatus,2
Hemitripterus_americanus,2
Makaira_mazara,1
Spicara_smaris,1
Chitonotus_pugetensis,2
Cubiceps_pauciradiatus,5
Paramonacanthus_japonicus,1
Bairdiella_chrysoura,1
Nuchequula_nuchalis,1
Gobionotothen_gibberifrons,2
Prognathodes_aculeatus,1
Dactylopterus_volitans,1
Lactoria_diaphana,1
Parophrys_vetulus,1
Platichthys_stellatus,2
Sphyraena_borealis,1
Balistes_capriscus,1
Myoxocephalus_quadricornis,2
Hirundichthys_coromandelensis,1
Liparis_liparis_barbatus,1
Sarda_orientalis,1
Acipenser_sturio,5
Pomacanthus_arcuatus,1
Pegasus_lancifer,1
Acanthurus_nigroris,1
Acanthurus_triostegus,1
Corythoichthys_nigripectus,2
Echeneis_naucrates,1
Pegusa_lascaris,1
Aluterus_schoepfii,3
Serranus_cabrilla,1
Neoclinus_blanchardi,1
Orthopristis_chrysoptera,1
Hippocampus_fuscus,2
Polydactylus_oligodon,1
Holacanthus_tricolor,1
Stephanolepis_hispidus,3
Solea_ovata,2
Ophidion_scrippsae,1
Epinephelus_coioides,1
Hippocampus_bargibanti,2
Bathymaster_derjugini,4
Corythoichthys_intestinalis,2
Labrus_bergylta,4
Pseudogramma_polyacantha,2
Seriola_dumerili,2
Anchoa_lyolepis,1
Alosa_aestivalis,2
Cynoscion_nebulosus,1
Acipenser_brevirostrum,2
Lactoria_fornasini,1
Gobius_niger,1
Balistapus_undulatus,1
Diodon_hystrix,1
Doryrhamphus_excisus_excisus,2
Caesio_caerulaurea,1
Opisthonema_oglinum,1
Coris_julis,1
Tautoga_onitis,1
Centropyge_argi,1
Fundulus_bermudae,1
Photoblepharon_palpebratum,1
Histrio_histrio,1
Bagre_marinus,2
Pterocaesio_digramma,1
Trachurus_trachurus,2
Brevoortia_tyrannus,1
Escualosa_thoracata,2
Anchoa_hepsetus,1
Cetengraulis_edentulus,1
Stolephorus_baganensis,1
Thryssa_hamiltonii,1
Lutjanus_kasmira,1
Syngnathus_louisianae,2
Alosa_sapidissima,1
Acipenser_oxyrinchus,2
Hippocampus_zosterae,2
Entelurus_aequoreus,2
Phycodurus_eques,2
Dascyllus_marginatus,1
Oreochromis_shiranus,2
Acanthurus_bahianus,1
Amphiprion_clarkii,2
Thunnus_alalunga,1
Hippocampus_histrix,2
Siganus_canaliculatus,1
Gobiusculus_flavescens,5
Ciliata_septentrionalis,2
Chaetodipterus_zonatus,1
Trachelochismus_pinnulatus,2
